City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,arraial do cabo,-22.9661,-42.0278,23.0,98,100,2.39,BR,2023-10-30 01:07:05
229,uturoa,-16.7333,-151.4333,26.55,77,6,6.68,PF,2023-10-30 01:06:43
230,tagab,34.855,69.6492,19.97,28,3,1.95,AF,2023-10-30 01:13:54
231,tongliao,43.6125,122.2653,13.65,19,4,3.44,CN,2023-10-30 01:09:46
232,westport,41.1415,-73.3579,13.38,82,100,4.63,US,2023-10-30 01:09:35
233,rio grande,-32.035,-52.0986,19.97,94,27,2.26,BR,2023-10-30 01:13:55
234,rengasdengklok,-6.1592,107.2981,36.07,43,92,2.8,ID,2023-10-30 01:13:55
235,tromso,69.6496,18.957,-1.99,86,75,2.57,NO,2023-10-30 01:13:55
236,brasilia de minas,-16.2064,-44.4333,24.27,49,27,3.18,BR,2023-10-30 01:13:56
237,qaqortoq,60.7167,-46.0333,4.4,72,100,7.97,GL,2023-10-30 01:06:52
238,ad dabbah,18.05,30.95,27.45,26,7,2.63,SD,2023-10-30 01:13:56
239,wailua homesteads,22.0669,-159.378,24.44,87,20,4.12,US,2023-10-30 01:07:11
240,jumla,29.2747,82.1838,17.25,33,0,2.12,NP,2023-10-30 01:13:57
241,hopewell,37.3043,-77.2872,20.81,87,7,2.39,US,2023-10-30 01:13:57
242,crane,31.3974,-102.3501,3.28,70,100,8.3,US,2023-10-30 01:07:00
243,mount pearl,47.5166,-52.7813,4.52,63,9,4.92,CA,2023-10-30 01:07:19
244,kaiapoi,-43.3783,172.6401,15.94,78,75,9.77,NZ,2023-10-30 01:13:58
245,muroto-misakicho,33.2833,134.15,18.77,50,0,0.79,JP,2023-10-30 01:13:58
246,alesund,62.4723,6.1549,4.31,61,0,10.29,NO,2023-10-30 01:13:58
247,bom jesus do galho,-19.8289,-42.3161,21.56,83,98,1.21,BR,2023-10-30 01:13:59
248,griffith,41.5284,-87.4237,6.17,87,100,6.69,US,2023-10-30 01:13:59
249,ancud,-41.8697,-73.8203,6.88,81,100,7.58,CL,2023-10-30 01:07:40
250,severo-yeniseyskiy,60.3725,93.0408,-12.46,85,87,0.89,RU,2023-10-30 01:06:43
